trade_num,date,league,format,bet_team,opponent,model_prob,market_open,edge,cost,entry_price,fillable_est,stake,result,pnl,bankroll_after,clv,prematch_close,beat_close,market_volume,winner
56,2026-03-29,north american challengers,bo3,Citadel Gaming,Conviction,0.437,0.17,0.267,0.03,0.2,500.0,21.87,LOSS,-21.87,1071.68,-0.06,0.11,N,58546.0,Conviction
57,2026-03-29,north american challengers,bo3,CCG Esports,Supernova,0.563,0.3,0.263,0.03,0.33,500.0,21.43,WIN,43.51,1115.19,0.49,0.79,Y,61835.0,CCG Esports
58,2026-03-31,road of legends,bo3,ZennIT,mCon esports,0.588,0.255,0.333,0.05,0.305,150.0,22.3,LOSS,-22.3,1092.89,0.415,0.67,Y,11883.0,mCon esports
59,2026-04-03,lck challengers,bo3,BNK FEARX Youth,Gen.G Global Academy,0.674,0.5,0.174,0.03,0.53,500.0,21.86,WIN,19.39,1112.28,0.19,0.69,Y,318686.0,BNK FearX Youth
60,2026-04-03,lck challengers,bo3,DN SOOPers Challengers,HANJIN BRION Challengers,0.611,0.5,0.111,0.03,0.53,500.0,22.25,WIN,19.73,1132.01,0.345,0.845,Y,1024695.0,DN SOOPers Challengers
61,2026-04-03,lck challengers,bo3,KT Rolster Challengers,Dplus Kia Challengers,0.65,0.5,0.15,0.03,0.53,500.0,22.64,WIN,20.08,1152.09,0.3,0.8,Y,390104.0,KT Rolster Challengers
62,2026-04-04,lck challengers,bo3,Kiwoom DRX Challengers,Hanwha Life Esports Challengers,0.651,0.5,0.151,0.03,0.53,500.0,23.04,WIN,20.43,1172.52,0.28,0.78,Y,204422.0,Kiwoom DRX Challengers
63,2026-04-04,prime league,bo1,Unicorns of Love Sexy Edition,G2 NORD,0.749,0.5,0.249,0.03,0.53,500.0,23.45,WIN,20.8,1193.32,-0.14,0.36,N,136469.0,Unicorns Of Love Sexy Edition
64,2026-04-04,north american challengers,bo3,Maryville University,Dorado Gaming,0.672,0.5,0.172,0.08,0.58,3.78,3.78,WIN,2.74,1196.06,0.325,0.825,Y,378.0,Maryville University
65,2026-04-04,north american challengers,bo3,CCG Esports,Conviction,0.616,0.495,0.121,0.04,0.535,300.0,23.92,LOSS,-23.92,1172.14,-0.365,0.13,N,44558.0,Conviction
66,2026-04-04,north american challengers,bo3,Supernova,Apex Mission Impossible,0.648,0.495,0.153,0.05,0.545,102.82,23.44,WIN,19.57,1191.71,0.285,0.78,Y,5141.0,Supernova
67,2026-04-04,lck challengers,bo3,Dplus Kia Challengers,HANJIN BRION Challengers,0.688,0.5,0.188,0.03,0.53,500.0,23.83,WIN,21.13,1212.84,0.26,0.76,Y,125421.0,Dplus KIA Challengers
68,2026-04-04,lck challengers,bo3,KT Rolster Challengers,Hanwha Life Esports Challengers,0.642,0.5,0.142,0.03,0.53,500.0,24.26,LOSS,-24.26,1188.58,-0.28,0.22,N,116249.0,Hanwha Life Esports Challengers
69,2026-04-04,lck challengers,bo3,Nongshim Esports Academy,Kiwoom DRX Challengers,0.637,0.5,0.137,0.03,0.53,500.0,23.77,WIN,21.08,1209.66,0.395,0.895,Y,152196.0,Nongshim Esports Academy
70,2026-04-04,prime league,bo1,Unicorns of Love Sexy Edition,Eintracht Spandau,0.686,0.5,0.186,0.04,0.54,300.0,24.19,LOSS,-24.19,1185.47,-0.025,0.475,N,26037.0,Eintracht Spandau
71,2026-04-04,prime league,bo1,Unicorns of Love Sexy Edition,ROSSMANN Centaurs,0.736,0.5,0.236,0.04,0.54,300.0,23.71,WIN,20.2,1205.67,0.325,0.825,Y,17885.0,Unicorns Of Love Sexy Edition
72,2026-04-07,lfl,bo1,Galions,Solary,0.632,0.515,0.117,0.04,0.555,300.0,24.11,WIN,19.33,1225.0,0.015,0.53,Y,22082.0,Galions
73,2026-04-07,lfl,bo1,Solary,TLN Pirates,0.749,0.5,0.249,0.03,0.53,500.0,24.5,WIN,21.73,1246.73,0.065,0.565,Y,68735.0,Solary
